tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000640,short,An Awful Moment,An Awful Moment,0,1908,\N,12,"Drama,Short",4.5,137
tt0000641,short,Balked at the Altar,Balked at the Altar,0,1908,\N,12,"Comedy,Short",4.8,163
tt0000642,short,The Bandit's Waterloo,The Bandit's Waterloo,0,1908,\N,12,"Action,Short",5.5,67
tt0000644,short,Behind the Scenes,Behind the Scenes,0,1908,\N,9,"Drama,Short",5.5,63
tt0000645,short,Betrayed by a Handprint,Betrayed by a Handprint,0,1908,\N,9,"Crime,Short",5.1,168
tt0000648,short,The Black Viper,The Black Viper,0,1908,\N,10,"Drama,Short",4.6,157
tt0000650,short,The Boston Tea Party,The Boston Tea Party,0,1908,\N,\N,"Drama,History,Short",8,21
tt0000651,short,"The Boy Detective, or the Abductors Foiled","The Boy Detective, or The Abductors Foiled",0,1908,\N,5,"Comedy,Drama,Short",5.1,61
tt0000653,short,A Calamitous Elopement,A Calamitous Elopement,0,1908,\N,12,"Comedy,Short",4.5,206
tt0000654,short,The Call of the Wild,The Call of the Wild,0,1908,\N,16,"Action,Short",5.2,104
tt0000658,short,The Puppet's Nightmare,Le cauchemar de Fantoche,0,1908,\N,2,"Animation,Short",6.5,229
tt0000659,short,Caught by Wireless,Caught by Wireless,0,1908,\N,10,"Drama,Short",5.2,78
tt0000660,short,The Christmas Burglars,The Christmas Burglars,0,1908,\N,11,"Comedy,Short",5.8,63
tt0000661,short,Humanity Through the Ages,La civilisation à travers les âges,0,1908,\N,\N,Short,6.7,18
tt0000662,short,Classmates,Classmates,0,1908,\N,\N,"Drama,Romance,Short",4.7,64
tt0000663,short,The Clubman and the Tramp,The Clubman and the Tramp,0,1908,\N,17,"Comedy,Short",5.6,62
tt0000665,short,Concealing a Burglar,Concealing a Burglar,0,1908,\N,11,"Drama,Short",5.8,64
tt0000666,short,Corrida de toros con Antonio Fuentes,Corrida de toros con Antonio Fuentes,0,1908,\N,25,"Documentary,Short,Sport",5.8,32
tt0000668,short,The Count of Monte Cristo,The Count of Monte Cristo,0,1908,\N,14,"Action,Drama,Short",7.1,50
tt0000669,short,Cupid's Pranks,Cupid's Pranks,0,1908,\N,10,"Comedy,Fantasy,Short",4.8,154
tt0000671,short,Desdemona,Desdemona,0,1908,\N,\N,"Drama,Short",6.7,16
tt0000672,short,The Devil,The Devil,0,1908,\N,10,"Drama,Short",6.2,45
tt0000673,short,La Dolores,La Dolores,0,1908,\N,15,Short,5.9,11
tt0000674,short,Don Juan Tenorio,Don Juan Tenorio,0,1908,\N,15,"Drama,Short",4.8,46
tt0000675,movie,Don Quijote,Don Quijote,0,1908,\N,\N,Drama,4.9,19
tt0000676,short,Don Álvaro o la fuerza del sino,Don Álvaro o la fuerza del sino,0,1908,\N,\N,"Drama,Short",4.4,17
tt0000677,short,Ex-Convict No. 900,Ex-Convict No. 900,0,1908,\N,\N,"Drama,Short",7.6,21
tt0000679,movie,The Fairylogue and Radio-Plays,The Fairylogue and Radio-Plays,0,1908,\N,120,"Adventure,Fantasy",5.3,66
tt0000680,short,Falsely Accused!,Falsely Accused!,0,1908,\N,\N,"Drama,Short",5.8,48
tt0000681,short,A Famous Escape,A Famous Escape,0,1908,\N,\N,"Drama,Short",5.9,41
tt0000682,short,A Fantasy,Fantasmagorie,0,1908,\N,2,"Animation,Comedy,Family",6.9,2488
tt0000683,short,The Fatal Hour,The Fatal Hour,0,1908,\N,14,"Crime,Short",5.5,81
tt0000684,short,Father Gets in the Game,Father Gets in the Game,0,1908,\N,10,"Comedy,Short",5.2,119
tt0000685,short,The Feud and the Turkey,The Feud and the Turkey,0,1908,\N,15,"Drama,Romance,Short",5.9,48
tt0000689,short,For Love of Gold,For Love of Gold,0,1908,\N,9,"Crime,Short",6.5,57
tt0000690,short,For a Wife's Honor,For a Wife's Honor,0,1908,\N,8,"Drama,Short",6.4,43
tt0000694,short,The Girl and the Outlaw,The Girl and the Outlaw,0,1908,\N,14,"Action,Short,Western",5.1,51
tt0000695,short,The Greaser's Gauntlet,The Greaser's Gauntlet,0,1908,\N,17,"Action,Short",5.8,53
tt0000697,short,The Guerrilla,The Guerrilla,0,1908,\N,15,"Action,Short,War",4.6,30
tt0000698,short,The Heart of O Yama,The Heart of O Yama,0,1908,\N,15,"Drama,Romance,Short",5.4,26
tt0000699,short,The Helping Hand,The Helping Hand,0,1908,\N,15,"Drama,Short",6,27
tt0000700,short,Her First Adventure,Her First Adventure,0,1908,\N,6,"Drama,Short",5.4,68
tt0000704,short,The Humpty Dumpty Circus,The Humpty Dumpty Circus,0,1898,\N,\N,"Animation,Comedy,Short",5.6,52
tt0000706,short,"Ingomar, the Barbarian","Ingomar, the Barbarian",0,1908,\N,13,"Drama,Romance,Short",5.1,31
tt0000707,short,The Ingrate,The Ingrate,0,1908,\N,15,"Action,Short",5.4,27
tt0000708,short,The Invisible Fluid,The Invisible Fluid,0,1908,\N,12,"Comedy,Short",4.6,34
tt0000709,short,Julius Caesar,Julius Caesar,0,1908,\N,13,"Drama,History,Short",5.5,56
tt0000711,short,The Kentuckian,The Kentuckian,0,1908,\N,\N,"Short,Western",4.4,23
tt0000713,short,The King's Messenger,The King's Messenger,0,1908,\N,\N,"Drama,Short",6,22
tt0000717,short,Macbeth,Macbeth,0,1908,\N,9,"Drama,Short",5.9,19
tt0000720,short,The Man and the Woman,The Man and the Woman,0,1908,\N,13,"Drama,Short",6.5,18
tt0000722,short,The Red Barn Mystery,Maria Marten,0,1908,\N,\N,"Drama,Short",5.4,12
tt0000724,short,The Merchant of Venice,The Merchant of Venice,0,1908,\N,9,"Drama,Short",5.2,41
tt0000727,short,Monday Morning in a Coney Island Police Court,Monday Morning in a Coney Island Police Court,0,1908,\N,7,"Comedy,Short",6,20
tt0000728,short,Money Mad,Money Mad,0,1908,\N,11,"Crime,Drama,Short",5.9,120
tt0000730,short,Mr. Jones at the Ball,Mr. Jones at the Ball,0,1908,\N,8,"Comedy,Short",5.8,61
tt0000731,short,Mrs. Jones Entertains,Mrs. Jones Entertains,0,1909,\N,11,"Comedy,Short",4.9,24
tt0000733,short,"Old Isaacs, the Pawnbroker","Old Isaacs, the Pawnbroker",0,1908,\N,10,"Drama,Short",6.2,31
tt0000734,short,Othello,Othello,0,1908,\N,\N,"Drama,Romance,Short",4.2,14
tt0000736,short,The Outlaw,The Outlaw,0,1908,\N,\N,"Short,Western",5.4,16
tt0000737,short,Over the Hill to the Poorhouse,Over the Hill to the Poorhouse,0,1908,\N,13,"Drama,Short",5.2,32
tt0000738,short,The Paris Hat,The Paris Hat,0,1908,\N,\N,Short,8,20
tt0000739,short,El pastorcito de Torrente,El pastorcito de Torrente,0,1908,\N,\N,"Drama,Short",6.2,16
tt0000740,short,The Pirate's Gold,The Pirate's Gold,0,1908,\N,16,"Action,Short",5.6,19
tt0000741,short,The Planter's Wife,The Planter's Wife,0,1908,\N,14,"Action,Drama,Short",5.4,20
tt0000743,short,The Princess in the Vase,The Princess in the Vase,0,1908,\N,\N,"Comedy,Short",6.8,15
tt0000746,short,The Reckoning,The Reckoning,0,1908,\N,8,"Drama,Short",7.4,20
tt0000747,short,The Red Girl,The Red Girl,0,1908,\N,17,"Action,Short",5.2,21
tt0000748,short,The Red Man and the Child,The Red Man and the Child,0,1908,\N,14,"Action,Short,Western",5.7,27
tt0000749,short,Rescued from an Eagle's Nest,Rescued from an Eagle's Nest,0,1908,\N,8,"Action,Short",5.7,776
tt0000750,short,Richard III,Richard III,0,1908,\N,\N,"Drama,Short",7.5,15
tt0000752,short,Romance of a Jewess,Romance of a Jewess,0,1908,\N,10,"Drama,Short",5.1,118
tt0000754,short,Romeo and Juliet,Romeo and Juliet,0,1908,\N,\N,"Drama,Romance,Short",7.3,59
tt0000755,short,The Dream of an Opium Fiend,Le rêve d'un fumeur d'opium,0,1908,\N,4,Short,5.8,196
tt0000756,short,The Sculptor's Nightmare,The Sculptor's Nightmare,0,1908,\N,11,"Comedy,Short",5.4,117
tt0000758,short,Sherlock Holmes,Sherlock Holmes i Livsfare,0,1908,\N,\N,"Mystery,Short",6.2,30
tt0000759,short,Sherlock Holmes II: Raffles Escaped from Prison,Sherlock Holmes II,0,1909,\N,\N,"Comedy,Short",7.9,12
tt0000760,short,Sherlock Holmes III: The Detective's Adventure in the Gas Cellar,Sherlock Holmes III,0,1909,\N,\N,"Drama,Mystery,Short",6.6,9
tt0000762,short,A Smoked Husband,A Smoked Husband,0,1908,\N,8,"Comedy,Short",6,20
tt0000764,short,The Song of the Shirt,The Song of the Shirt,0,1908,\N,11,"Drama,Short",5.7,130
tt0000765,short,The Stage Rustler,The Stage Rustler,0,1908,\N,\N,"Short,Western",5.8,16
tt0000767,short,The Stolen Jewels,The Stolen Jewels,0,1908,\N,11,"Drama,Short",6.8,19
tt0000769,short,Knight of Black Art,Le tambourin fantastique,0,1908,\N,6,Short,5.3,154
